,reviewContent,rating
0,"Let me begin by saying that there are two kinds of people, those who will give the Tokyo Hotel 5 stars and rave about it to everyone they know, or... people who can't get past the broken phone, blood stains, beeping fire alarms, peg-legged receptionist, lack of water pressure, cracked walls, strange smells, questionable elevator, televisions left to die after the digital conversion, and the possibility that the air conditioner may fall out the window at any moment. That being said, I whole-heartedly give the Tokyo Hotel 5 stars. This is not a place to quietly slip in and out of with nothing to show but a faint memory of the imitation Thomas Kinkade painting bolted to the wall above your bed. And, there is no continental breakfast or coffee in the lobby. There are a few vending machines, but I'm pretty sure they wont take change minted after 1970. Here your senses will be assaulted, and after you leave you will have enough memories to compete with a 1,000 mile road-trip. I beg anyone who is even mildly considering staying here to give it a chance. The location is prime. We were able to walk down Michigan Ave and the river-walk in the middle of the night, all without straying too far from the hotel. There is a grocery store a block away and parking (which may cost more that your hotel room) across the street. Besides, this place is cheap. Super-cheap for downtown Chicago. The closest price we found in the area was four times as expensive. But, be sure to grab some cash. They don't accept credit cards. Some rules though: - Say hello to Clifton Jackson, the homeless guy by Jewel-Osco. - Buy him a drink, some chicken and look him up on Facebook. - Stay on the 17 floor. All the way at the top. - Go out the fire escape (be sure to prop the door open or you'll have a looong walk down) - Be very very careful. - Explore. (Yes, that ladder will hold your weight) - Be very very careful. - Don't be alarmed by any weird noises you hear. - Spend the night on the roof. 17 stories up, in the heart of Chicago. - Write your own Yelp review. I want to see that others are getting the Tokyo Hotel Experience. - Check out is at noon. Be sure to drink lots of water. - Spend the next day hung over. And... Please be careful on the roof.",5
1,"The only place inside the Loop that you can stay for $55/night. Also, the only place you can have a picnic dinner and get a little frisky on the 17th floor roof and then wake up in your room the next morning to an army of ants going in on your picnic leftovers.",3
2,"I have walked by the Tokyo Hotel countless times. It reminds me of the type place that Peter Parker lives in in the Spiderman movies, Or the sort of place Marla Singer might live in, or maybe it is a carbon copy of the Hotel Zamenhof. Basically it is scuzzy and sleazy, through and through it is a fleabag, and I love it. Yesterday I finally walked in. I don't know why. Maybe because I just told my roommates and my landlord that I wouldn't be signing another lease, essentially leaving me ""pre-homeless"". Maybe because earlier that day I told boss that I'm quitting my job at the end of July, leaving me ""pre-unemployed"". Maybe because after all this time teetering between living on the edge of salvation and the brink of self destruction, I'm finally choosing my path, I'm hitting bottom. I'm giving up. Shit maybe I'm Nick Cage in Leaving Las Vegas, but where is my Elizabeth Shue? Who will look after me, who will walk me gently into that good night? If I choose to stay in this city, the city I love, then I may just stay in the ""Hotel Tokyo"". Because if I choose to stay, and that is a big if, then I'm going to need to stay somewhere cheap, with like-minded vagabonds, vagrants and naredowells. I'll need help, I'll need guidance.",5
3,"If you are considering staying here, watch this first: http://www.youtube.com/w…",1
4,"This place is disgusting, absolutely horrible, it is my second stay here, there is a strange stain on the other side of the bed I stay on, and my friends and I are rendered air conditionless, but it is 55 for downtown Chicago, what am I suppose to do?",3
5,"Disgusting!!!  There is literally duct tape holding together the elevator.  Crack heads live here.. not safe!  Walked in, bought a room.. saw it and left.  No locks on doors, no parking, no air conditioning, no way! For the $$ you pay for the room ($ 55 a night) and parking ($ 38 a night) you could stay down the street at The Ohio House and NOT sleep with one eye open.  Would not recommend this hotel to my worst enemy.  Seriously, DO NOT STAY HERE!",1
6,"This hotel came up on Hotwire for $108 a night.  We wanted to stay in this area so we took it.  The Tremont is an older hotel updated to boutique style.  I'm rather amazed by some of the other snarky reviews -- if you want rooms like the Drake or the Four Seasons, book yourselves there and pay the price!   In fact, our room (910) was fine.  It's a bit small, but large enough to hold a rather monumental king size bed with a giant headboard.  Perfectly comfortable.  There's decent free WiFi and plenty of outlets.  The bathroom has a slightly odd layout but is a bit larger than at the Inn of Chicago, where we stayed the first two nights we were in town. You also can't beat the location -- half a block west of Michigan Ave. at the Water Tower.  So there's no end of shopping and dining facilities.  You're a couple of blocks walk to Oak Street Beach and the El station.   It's true that there's only one elevator, so be prepared for it to be slow, especially when it's check-out time.  But this is a small quibble.  Haven't tried the continental breakfast at Ditka's yet.  But we did notice a café in the plaza at the John Hancock building across Michigan Ave. that offers breakfast, coffees, etc. that probably should be decent.  There's also a Starbucks right across the street from the hotel.  Also the hotel has only 20 TV channels and doesn't carry MSNBC, to which I'm kind of addicted.   In short, no real complaints.  The Tremont more than meets our needs at a great price!",4
7,"Good location, really run down. I am surprised SPG lends their reputation to this property.",2
8,"Beautiful lobby. The rest is a dump. The elevator should be in an amusement park. The rooms are nice, if you like lumpy beds, peeling wallpaper, caked on dust on the air vents, disgusting bathrooms, and zero customer service. If they were a hostel, I'd be more understanding. But this place purports to be a classy old hotel.   If you're a hobo looking for a flophouse, this might be for you. There are plenty of dumpsters nearby for any biscuit-spearing you might have on your itinerary.  By all means, catch a cannonball to chi-town but mind the bone polishers. If you are a non-hobo, look elsewhere.",1
9,"Stayed here when I went to Chicago for a wedding.  The hotel had an old world charm that my husband and I liked and made us choose this over something more modern.  Yes, the hotel only had 1 small elevator which made it a little inconvenient when there were multiple groups (with luggage) at the same time, which reminded me of a hotel in Europe.  The rooms were modest, the bathroom was fine, everything was clean... not luxurious, but what do you expect.  The location itself is conveniently located just off the main street.  I think we ended up paying $160 per night (after taxes were added) during the weekend in July, which was cheap for that area when we looked.  Overall, fairly comfortable and affordable, a decent option.",3
